sample_id,n_Na,r_TM,phi_TM,I_TM,S_TM,phi_cation,Phase_EXP,Phase_DNN,Group,Source
96670,0.73,65.46,49.169204,91.72815104,0.626869458,12.3164038,1,1,Train,ICSD
97544,1,103,29.126214,42.42,0,9.994289407,1,1,Train,ICSD
133882,0.8,55.38,58.0097,57.6706,1.009897321,15.92423062,1,1,Train,ICSD
133884,0.85,55.63,56.822322,56.6106,1.009897321,16.57317634,1,1,Train,ICSD
133885,0.9,55.88,55.634944,55.5506,1.009897321,17.18137871,1,1,Train,ICSD
155498,0.921,54.3815,56.659512,53.50017,0,17.90607245,1,1,Train,ICSD
155499,0.32,53.48,68.935434,70.4664,0,7.569381111,1,0,Train,ICSD
170347,1,68,44.117647,45,0,15.13840872,1,1,Train,ICSD
191296,0.89,67.56,47.225978,47.388689,0.634178636,14.42244274,1,1,Train,ICSD
241539,1,91.33333333,34.275726,48.42878667,0.636514168,11.76127887,1,1,Train,ICSD
252021,0.622,54.508,62.114984,61.64932,0.634178636,13.25728562,1,0,Train,ICSD
252022,0.457,55.0855,64.397036,64.96417,0.634178636,10.09833862,1,0,Train,ICSD
252023,0.34,55.495,66.015217,67.3147,0.634178636,7.701774431,1,0,Train,ICSD
252024,0.18,56.055,68.228116,70.5291,0.634178636,4.214089735,1,1,Train,ICSD
252025,0.8,54.99,58.363932,57.929,0.634178636,16.02147077,1,0,Train,ICSD
252026,0.52,54.865,63.525707,63.6985,0.634178636,11.33497844,1,0,Train,ICSD
426655,0.86,62.61,50.675686,48.1154,0.634178636,14.95429615,1,1,Train,ICSD
426656,0.92,63.4,49.618347,46.6148,0.634178636,15.66383115,1,1,Train,ICSD
426657,0.62,60,57.781679,54.8941,0.668748087,12.29276803,1,1,Train,ICSD
426658,0.9,63.395,49.766544,46.5421,0.634178636,15.36907882,1,1,Train,ICSD
426659,0.8,59.99,53.870401,54.0077,0.634178636,14.78795251,1,1,Train,ICSD
22216,1,53.5,56.074766,119.9924,0,19.24134183,1,1,Train,ICSD
25510,1,102.5,29.268293,51.14,0,10.04304201,1,1,Train,ICSD
25729,1,88.5,33.898305,73.4894,0,11.63177166,1,1,Train,ICSD
27358,0.75,56.375,57.438017,66.00725,0.562335145,14.78184203,1,1,Train,ICSD
31932,1,94,31.914894,55.45,0,10.95118944,1,1,Train,ICSD
31933,1,80,41.915317,67.11545333,0.636514168,14.38270723,1,1,Train,ICSD
33192,1,59.38,50.806144,51.590334,1.113625088,17.43348129,1,1,Train,ICSD
33195,1,60.25,50.12809,51.761184,1.192194501,17.20081569,1,1,Train,ICSD
37649,1,57.7,52.151394,52.516717,1.193549604,17.8950867,1,1,Train,ICSD
37671,1,56.55,53.081057,53.247,1.048653789,18.21408871,1,1,Train,ICSD
37672,1,57.1,53.033579,53.732665,1.205628232,18.19779724,1,1,Train,ICSD
142010,1,58.475,51.69274,54.3124735,1.105889879,17.73770542,1,1,Train,ICSD
147473,1,56.8,52.842588,53.063,1.029653014,18.13226111,1,1,Train,ICSD
147474,1,57.31,52.439265,52.5732085,1.176685607,17.99386596,1,1,Train,ICSD
147475,1,57.82,52.035942,52.083417,1.251770686,17.85547081,1,1,Train,ICSD
147476,1,58.33,51.632618,51.5936255,1.29791415,17.71707532,1,1,Train,ICSD
147524,0.6,55.23,61.939911,60.9132,0.844228311,12.75233455,1,0,Train,ICSD
147528,0.6,55.08,62.080977,61.0982,0.922703332,12.78137755,1,0,Train,ICSD
257298,1,56.5,53.127401,52.706,1.054920168,18.22999107,1,1,Train,ICSD
257299,0.912,56.06,55.217186,54.5716,1.054920168,17.27972998,1,1,Train,ICSD
264775,0.8,71.8,48.286702,58.8812,0.673011667,13.25517247,1,1,Train,ICSD
264776,0.9,72.15,47.076163,56.6126,0.688138814,14.53822591,1,1,Train,ICSD
264777,1,72.5,45.865624,54.344,0.693147181,15.73820477,1,1,Train,ICSD
291907,1,104,28.846154,60.6072,0,9.898190385,1,1,Train,ICSD
291908,1,104.1,28.818444,42.52,0,9.888682051,1,1,Train,ICSD
291910,1,100.8,29.761905,43.61,0,10.21241868,1,1,Train,ICSD
13772,0.628,56.14,61.374669,65.59276,1.16828245,13.22563981,0,0,Train,ICSD
19654,0.478,55.39,64.120364,62.2764,0,10.5169979,0,0,Train,ICSD
19656,0.437,55.185,65.094014,63.1456,0,9.760911696,0,0,Train,ICSD
19657,0.272,54.36,69.012362,66.6436,0,6.441154495,0,0,Train,ICSD
19772,0.7,58.3,58.808646,67.59672,0.500402424,14.12560573,0,0,Train,ICSD
