sample_id,n_Na,q_Na,r_Na,I_Na,phi_Na,n_TM,q_TM,r_TM,I_TM,phi_TM,S_TM,n_O,q_O,r_O,I_O,phi_O,phi_cation,Phase_EXP
P2,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,62.75,79.371295,54.078739,0.867563228,2,-4,140,280,28.571429,12.37095372,0
13770,0.64,0.64,102,30.2632704,6.27451,1,3.36,55.76,63.481416,61.171542,1.112432027,2,-4,140,280,28.571429,13.43375062,1
13771,0.695,0.695,102,32.8640202,6.813725,1,3.305,55.485,59.994236,59.967731,0.990111132,2,-4,140,280,28.571429,14.30112676,1
19572,1,1,102,47.28636,9.803922,1,3,56.2,53.803,53.406852,1.088899975,2,-4,140,280,28.571429,18.32588112,1
49492,1,1,102,47.28636,9.803922,1,3,56.29,53.764224,53.322419,1.069356063,2,-4,140,280,28.571429,18.29690901,1
49493,1,1,102,47.28636,9.803922,1,3,56.28,54.451448,53.332708,1.094669609,2,-4,140,280,28.571429,18.30043955,1
49834,1,1,102,47.28636,9.803922,1,3,56,53.924,53.618948,1.054920168,2,-4,140,280,28.571429,18.39865916,1
49835,1,1,102,47.28636,9.803922,1,3,56.3,53.554,53.336816,1.029653014,2,-4,140,280,28.571429,18.30184916,1
68872,0.54,0.54,102,25.5346344,5.294118,1,3.46,64.01,69.0418118,54.592328,0,2,-4,140,280,28.571429,10.11563777,1
85654,0.99,0.99,102,46.8134964,9.705882,1,3.01,66.935,43.8274883,44.989515,0,2,-4,140,280,28.571429,15.2832021,1
96428,1,1,102,47.28636,9.803922,1,3,54.5,51.27,55.045872,0,2,-4,140,280,28.571429,18.88828996,1
96670,0.73,0.73,102,34.5190428,7.156863,1,3.04,65.46,91.72815104,49.169204,0.626869458,2,-4,140,280,28.571429,12.3164038,1
97544,1,1,102,47.28636,9.803922,1,3,103,42.42,29.126214,0,2,-4,140,280,28.571429,9.994289407,1
133882,0.8,0.8,102,37.829088,7.843137,1,3.2,55.38,57.6706,58.0097,1.009897321,2,-4,140,280,28.571429,15.92423062,1
133884,0.85,0.85,102,40.193406,8.333333,1,3.15,55.63,56.6106,56.822322,1.009897321,2,-4,140,280,28.571429,16.57317634,1
133885,0.9,0.9,102,42.557724,8.823529,1,3.1,55.88,55.5506,55.634944,1.009897321,2,-4,140,280,28.571429,17.18137871,1
155498,0.921,0.921,102,43.55073756,9.029412,1,3.079,54.3815,53.50017,56.659512,0,2,-4,140,280,28.571429,17.90607245,1
155499,0.32,0.32,102,15.1316352,3.137255,1,3.68,53.48,70.4664,68.935434,0,2,-4,140,280,28.571429,7.569381111,1
170347,1,1,102,47.28636,9.803922,1,3,68,45,44.117647,0,2,-4,140,280,28.571429,15.13840872,1
191296,0.89,0.89,102,42.0848604,8.72549,1,3.11,67.56,47.388689,47.225978,0.634178636,2,-4,140,280,28.571429,14.42244274,1
241539,1,1,102,47.28636,9.803922,1,3,91.33333333,48.42878667,34.275726,0.636514168,2,-4,140,280,28.571429,11.76127887,1
252021,0.622,0.622,102,29.41211592,6.098039,1,3.378,54.508,61.64932,62.114984,0.634178636,2,-4,140,280,28.571429,13.25728562,1
252022,0.457,0.457,102,21.60986652,4.480392,1,3.543,55.0855,64.96417,64.397036,0.634178636,2,-4,140,280,28.571429,10.09833862,1
252023,0.34,0.34,102,16.0773624,3.333333,1,3.66,55.495,67.3147,66.015217,0.634178636,2,-4,140,280,28.571429,7.701774431,1
252024,0.18,0.18,102,8.5115448,1.764706,1,3.82,56.055,70.5291,68.228116,0.634178636,2,-4,140,280,28.571429,4.214089735,1
252025,0.8,0.8,102,37.829088,7.843137,1,3.2,54.99,57.929,58.363932,0.634178636,2,-4,140,280,28.571429,16.02147077,1
252026,0.52,0.52,102,24.5889072,5.098039,1,3.48,54.865,63.6985,63.525707,0.634178636,2,-4,140,280,28.571429,11.33497844,1
426655,0.86,0.86,102,40.6662696,8.431373,1,3.14,62.61,48.1154,50.675686,0.634178636,2,-4,140,280,28.571429,14.95429615,1
426656,0.92,0.92,102,43.5034512,9.019608,1,3.08,63.4,46.6148,49.618347,0.634178636,2,-4,140,280,28.571429,15.66383115,1
426657,0.62,0.62,102,29.3175432,6.078431,1,3.38,60,54.8941,57.781679,0.668748087,2,-4,140,280,28.571429,12.29276803,1
426658,0.9,0.9,102,42.557724,8.823529,1,3.1,63.395,46.5421,49.766544,0.634178636,2,-4,140,280,28.571429,15.36907882,1
426659,0.8,0.8,102,37.829088,7.843137,1,3.2,59.99,54.0077,53.870401,0.634178636,2,-4,140,280,28.571429,14.78795251,1
22216,1,1,102,47.28636,9.803922,1,3,53.5,119.9924,56.074766,0,2,-4,140,280,28.571429,19.24134183,1
25510,1,1,102,47.28636,9.803922,1,3,102.5,51.14,29.268293,0,2,-4,140,280,28.571429,10.04304201,1
25729,1,1,102,47.28636,9.803922,1,3,88.5,73.4894,33.898305,0,2,-4,140,280,28.571429,11.63177166,1
27358,0.75,0.75,102,35.46477,7.352941,1,3.25,56.375,66.00725,57.438017,0.562335145,2,-4,140,280,28.571429,14.78184203,1
31932,1,1,102,47.28636,9.803922,1,3,94,55.45,31.914894,0,2,-4,140,280,28.571429,10.95118944,1
31933,1,1,102,47.28636,9.803922,1,3,80,67.11545333,41.915317,0.636514168,2,-4,140,280,28.571429,14.38270723,1
33192,1,1,102,47.28636,9.803922,1,3,59.38,51.590334,50.806144,1.113625088,2,-4,140,280,28.571429,17.43348129,1
33195,1,1,102,47.28636,9.803922,1,3,60.25,51.761184,50.12809,1.192194501,2,-4,140,280,28.571429,17.20081569,1
37649,1,1,102,47.28636,9.803922,1,3,57.7,52.516717,52.151394,1.193549604,2,-4,140,280,28.571429,17.8950867,1
37671,1,1,102,47.28636,9.803922,1,3,56.55,53.247,53.081057,1.048653789,2,-4,140,280,28.571429,18.21408871,1
37672,1,1,102,47.28636,9.803922,1,3,57.1,53.732665,53.033579,1.205628232,2,-4,140,280,28.571429,18.19779724,1
142010,1,1,102,47.28636,9.803922,1,3,58.475,54.3124735,51.69274,1.105889879,2,-4,140,280,28.571429,17.73770542,1
147473,1,1,102,47.28636,9.803922,1,3,56.8,53.063,52.842588,1.029653014,2,-4,140,280,28.571429,18.13226111,1
147474,1,1,102,47.28636,9.803922,1,3,57.31,52.5732085,52.439265,1.176685607,2,-4,140,280,28.571429,17.99386596,1
147475,1,1,102,47.28636,9.803922,1,3,57.82,52.083417,52.035942,1.251770686,2,-4,140,280,28.571429,17.85547081,1
147476,1,1,102,47.28636,9.803922,1,3,58.33,51.5936255,51.632618,1.29791415,2,-4,140,280,28.571429,17.71707532,1
147524,0.6,0.6,102,28.371816,5.882353,1,3.4,55.23,60.9132,61.939911,0.844228311,2,-4,140,280,28.571429,12.75233455,1
147528,0.6,0.6,102,28.371816,5.882353,1,3.4,55.08,61.0982,62.080977,0.922703332,2,-4,140,280,28.571429,12.78137755,1
257298,1,1,102,47.28636,9.803922,1,3,56.5,52.706,53.127401,1.054920168,2,-4,140,280,28.571429,18.22999107,1
257299,0.912,0.912,102,43.12516032,8.941176,1,3.088,56.06,54.5716,55.217186,1.054920168,2,-4,140,280,28.571429,17.27972998,1
264775,0.8,0.8,102,37.829088,7.843137,1,3.2,71.8,58.8812,48.286702,0.673011667,2,-4,140,280,28.571429,13.25517247,1
264776,0.9,0.9,102,42.557724,8.823529,1,3.1,72.15,56.6126,47.076163,0.688138814,2,-4,140,280,28.571429,14.53822591,1
